detector,energy_MeV,pmma_wheel_steps,det_id,eff
mts,4.92,6895,61,0.9856265711207203
mts,4.92,6895,62,0.9848950143129988
mts,4.92,6895,63,0.9803752999805929
mts,4.92,6895,64,0.9936035634522997
mts,4.92,6895,65,0.9762977422278534
mts,4.92,6895,66,0.9982153030049978
mts,5.5,6855,55,1.0393664730563903
mts,5.5,6855,56,1.0488820999414283
mts,5.5,6855,57,1.0582916684599004
mts,5.5,6855,58,1.0567507426457388
mts,5.5,6855,59,1.0725497916470927
mts,5.5,6855,60,1.077713186308262
mts,6.3,6802,49,1.0963824904952224
mts,6.3,6802,50,1.1077573951358817
mts,6.3,6802,51,1.1022707091176216
mts,6.3,6802,52,1.0926646167505498
mts,6.3,6802,53,1.0755035392896657
mts,6.3,6802,54,1.0764331410510946
mts,7.7,6717,43,1.1132611192932516
mts,7.7,6717,44,1.1402463892857932
mts,7.7,6717,45,1.1212516513837831
mts,7.7,6717,46,1.0875741336411104
mts,7.7,6717,47,1.105406393970926
mts,7.7,6717,48,1.1127388219470853
mts,10,6542,37,1.0920126990457382
mts,10,6542,38,1.114706706729518
mts,10,6542,39,1.1063689718180436
mts,10,6542,40,1.1031421469386464
mts,10,6542,41,1.1109025258624639
mts,10,6542,42,1.0959698670977582
mts,13,6365,31,1.0274359728055047
mts,13,6365,32,1.0376904746621975
mts,13,6365,33,1.0212215057441454
mts,13,6365,34,1.041596099275904
mts,13,6365,35,1.0457905839596082
mts,13,6365,36,1.0552192070821287
mts,16,6098,25,1.079793108324713
mts,16,6098,26,1.0785795549120587
mts,16,6098,27,1.071441177568838
mts,16,6098,28,1.078360011444834
mts,16,6098,29,1.0796763187373506
mts,16,6098,30,1.0832852669104607
mts,21,5645,19,1.051388919089772
mts,21,5645,20,1.0702350912677518
mts,21,5645,21,1.058881051755788
mts,21,5645,22,1.0692020602545858
mts,21,5645,23,1.074880267118938
mts,21,5645,24,1.0829990283855242
mts,30,4462,13,1.0401379205010013
mts,30,4462,14,1.0383275378859975
mts,30,4462,15,1.0366321236946503
mts,30,4462,16,1.0139622307224145
mts,30,4462,17,1.0169982043026677
mts,30,4462,18,1.0336373433516604
mts,42,2645,7,1.023441349245055
mts,42,2645,8,1.0377068071330957
mts,42,2645,9,1.0249372251608682
mts,42,2645,10,1.035414310518468
mts,42,2645,11,1.0338002225752014
mts,42,2645,12,1.0430000953297216
mts,55,0,1,0.9746663654695475
mts,55,0,2,0.9882391666919168
mts,55,0,4,0.971826326661222
mts,55,0,5,1.0087106740004077
mts,55,0,6,1.0034030326331638
mcp,4.92,6895,61,0.4588012386829322
mcp,4.92,6895,62,0.4422735277374091
mcp,4.92,6895,63,0.45141215422961783
mcp,4.92,6895,64,0.45264557863460453
mcp,4.92,6895,65,0.4567862190573613
mcp,4.92,6895,66,0.4638532440165409
mcp,5.5,6855,55,0.5033343566817056
mcp,5.5,6855,56,0.5138773285220142
mcp,5.5,6855,57,0.5089083099754274
mcp,5.5,6855,58,0.5082326231593041
mcp,5.5,6855,59,0.51311870241807
mcp,5.5,6855,60,0.5193287231439716
mcp,6.3,6802,49,0.5478674373880266
mcp,6.3,6802,50,0.5434460782026086
mcp,6.3,6802,51,0.5314556863460421
mcp,6.3,6802,52,0.5325067715552121
mcp,6.3,6802,53,0.5440257569211564
mcp,6.3,6802,54,0.5500251567360768
mcp,7.7,6717,43,0.5960002176052264
mcp,7.7,6717,44,0.5876400553597498
mcp,7.7,6717,45,0.5927903267479616
mcp,7.7,6717,46,0.5949281971560514
mcp,7.7,6717,47,0.5930682440395068
mcp,7.7,6717,48,0.5931255791761553
mcp,10,6542,37,0.6470426237696003
mcp,10,6542,38,0.6478276155344378
mcp,10,6542,39,0.6219125806060664
mcp,10,6542,40,0.62512229559787
mcp,10,6542,41,0.6315157652837637
mcp,10,6542,42,0.637199569112768
mcp,13,6365,31,0.6309625062172323
mcp,13,6365,32,0.6366745386961028
mcp,13,6365,33,0.6472679939504389
mcp,13,6365,34,0.6377187595457716
mcp,13,6365,35,0.6509686992474348
mcp,13,6365,36,0.6577878405122154
mcp,16,6098,25,0.7056670130496087
mcp,16,6098,26,0.6954642069566885
mcp,16,6098,27,0.6890169671049502
mcp,16,6098,28,0.6779185522236203
mcp,16,6098,29,0.6835950289817583
mcp,16,6098,30,0.7006367322697306
mcp,21,5645,19,0.7439449685424845
mcp,21,5645,20,0.7271170443940386
mcp,21,5645,21,0.7303140395556348
mcp,21,5645,22,0.7470006124330371
mcp,21,5645,23,0.7500244839328523
mcp,21,5645,24,0.7530765206785516
mcp,30,4462,13,0.7915462782832594
mcp,30,4462,14,0.7914808113025958
mcp,30,4462,15,0.7746256064701523
mcp,30,4462,16,0.7656273209835581
mcp,30,4462,17,0.7826023619885434
mcp,30,4462,18,0.7841579410515043
mcp,42,2645,7,0.8344951457930075
mcp,42,2645,8,0.8291424573533719
mcp,42,2645,9,0.8434097971100377
mcp,42,2645,10,0.8412606057859054
mcp,42,2645,11,0.842609160166409
mcp,42,2645,12,0.8413448874613333
mcp,55,0,1,0.8288635164934725
mcp,55,0,2,0.8384648739317285
mcp,55,0,3,0.8435537124111254
mcp,55,0,4,0.8420288319998864
mcp,55,0,5,0.8451222395560137
mcp,55,0,6,0.843410328972069
